"service_id","date","exception_type"
"F09403F5","20230524","1"
"F09403F5","20230525","1"
"F09403F5","20230526","1"
"F09403F5","20230530","1"
"F09403F5","20230531","1"
"F09403F5","20230601","1"
"F09403F5","20230602","1"
"F09403F5","20230605","1"
"F09403F5","20230606","1"
"F09403F5","20230607","1"
"F09403F5","20230608","1"
"F09403F5","20230609","1"
"F09403F5","20230612","1"
"F09403F5","20230613","1"
"F09403F5","20230614","1"
"F09403F5","20230615","1"
"F09403F5","20230616","1"
"F09403F5","20230619","1"
"F09403F5","20230620","1"
"F09403F5","20230621","1"
"F09403F5","20230622","1"
"F09403F5","20230623","1"
"F09403F5","20230626","1"
"F09403F5","20230627","1"
"F09403F5","20230628","1"
"F09403F5","20230629","1"
"F09403F5","20230630","1"
"F09403F5","20230703","1"
"F09403F5","20230705","1"
"F09403F5","20230706","1"
"F09403F5","20230707","1"
"F09403F5","20230710","1"
"F09403F5","20230711","1"
"F09403F5","20230712","1"
"F09403F5","20230713","1"
"F09403F5","20230714","1"
"F09403F5","20230717","1"
"F09403F5","20230718","1"
"F09403F5","20230719","1"
"F09403F5","20230720","1"
"F09403F5","20230721","1"
"F09403F5","20230724","1"
"F09403F5","20230725","1"
"F09403F5","20230726","1"
"F09403F5","20230727","1"
"F09403F5","20230728","1"
"F09403F5","20230731","1"
"F09403F5","20230801","1"
"F09403F5","20230802","1"
"F09403F5","20230803","1"
"F09403F5","20230804","1"
"F09403F5","20230807","1"
"F09403F5","20230808","1"
"F09403F5","20230809","1"
"F09403F5","20230810","1"
"F09403F5","20230811","1"
"F09403F5","20230814","1"
"F09403F5","20230815","1"
"F09403F5","20230816","1"
"F09403F5","20230817","1"
"F09403F5","20230818","1"
"F09403F5","20230821","1"
"F09403F5","20230822","1"
"F09403F5","20230823","1"
"F09403F5","20230824","1"
"F09403F5","20230825","1"
"F09403F5","20230828","1"
"F09403F5","20230829","1"
"F09403F5","20230830","1"
"F09403F5","20230831","1"
"F09403F5","20230901","1"
"4E35722B","20230527","1"
"4E35722B","20230528","1"
"4E35722B","20230529","1"
"4E35722B","20230603","1"
"4E35722B","20230604","1"
"4E35722B","20230610","1"
"4E35722B","20230611","1"
"4E35722B","20230617","1"
"4E35722B","20230618","1"
"4E35722B","20230624","1"
"4E35722B","20230625","1"
"4E35722B","20230701","1"
"4E35722B","20230702","1"
"4E35722B","20230704","1"
"4E35722B","20230708","1"
"4E35722B","20230709","1"
"4E35722B","20230715","1"
"4E35722B","20230716","1"
"4E35722B","20230722","1"
"4E35722B","20230723","1"
"4E35722B","20230729","1"
"4E35722B","20230730","1"
"4E35722B","20230805","1"
"4E35722B","20230806","1"
"4E35722B","20230812","1"
"4E35722B","20230813","1"
"4E35722B","20230819","1"
"4E35722B","20230820","1"
"4E35722B","20230826","1"
"4E35722B","20230827","1"
"4E35722B","20230902","1"
"4E35722B","20230903","1"
"4E35722B","20230904","1"
"1E7C9054","20230526","1"
"1E7C9054","20230703","1"
"1E7C9054","20230901","1"
"38DF295E","20230525","1"
"38DF295E","20230601","1"
"38DF295E","20230608","1"
"38DF295E","20230615","1"
"38DF295E","20230622","1"
"38DF295E","20230629","1"
"38DF295E","20230706","1"
"38DF295E","20230713","1"
"38DF295E","20230720","1"
"38DF295E","20230727","1"
"38DF295E","20230803","1"
"38DF295E","20230810","1"
"38DF295E","20230817","1"
"38DF295E","20230824","1"
"38DF295E","20230831","1"
"48921D01","20230524","1"
"48921D01","20230525","1"
"48921D01","20230530","1"
"48921D01","20230531","1"
"48921D01","20230601","1"
"48921D01","20230605","1"
"48921D01","20230606","1"
"48921D01","20230607","1"
"48921D01","20230608","1"
"48921D01","20230612","1"
"48921D01","20230613","1"
"48921D01","20230614","1"
"48921D01","20230615","1"
"48921D01","20230619","1"
"48921D01","20230620","1"
"48921D01","20230621","1"
"48921D01","20230622","1"
"48921D01","20230626","1"
"48921D01","20230627","1"
"48921D01","20230628","1"
"48921D01","20230629","1"
"48921D01","20230705","1"
"48921D01","20230706","1"
"48921D01","20230710","1"
"48921D01","20230711","1"
"48921D01","20230712","1"
"48921D01","20230713","1"
"48921D01","20230717","1"
"48921D01","20230718","1"
"48921D01","20230719","1"
"48921D01","20230720","1"
"48921D01","20230724","1"
"48921D01","20230725","1"
"48921D01","20230726","1"
"48921D01","20230727","1"
"48921D01","20230731","1"
"48921D01","20230801","1"
"48921D01","20230802","1"
"48921D01","20230803","1"
"48921D01","20230807","1"
"48921D01","20230808","1"
"48921D01","20230809","1"
"48921D01","20230810","1"
"48921D01","20230814","1"
"48921D01","20230815","1"
"48921D01","20230816","1"
"48921D01","20230817","1"
"48921D01","20230821","1"
"48921D01","20230822","1"
"48921D01","20230823","1"
"48921D01","20230824","1"
"48921D01","20230828","1"
"48921D01","20230829","1"
"48921D01","20230830","1"
"48921D01","20230831","1"
"932F2766","20230526","1"
"932F2766","20230602","1"
"932F2766","20230609","1"
"932F2766","20230616","1"
"932F2766","20230623","1"
"932F2766","20230630","1"
"932F2766","20230703","1"
"932F2766","20230707","1"
"932F2766","20230714","1"
"932F2766","20230721","1"
"932F2766","20230728","1"
"932F2766","20230804","1"
"932F2766","20230811","1"
"932F2766","20230818","1"
"932F2766","20230825","1"
"932F2766","20230901","1"
"E5D079F1","20230525","1"
"E5D079F1","20230526","1"
"E5D079F1","20230602","1"
"E5D079F1","20230609","1"
"E5D079F1","20230615","1"
"E5D079F1","20230616","1"
"E5D079F1","20230623","1"
"E5D079F1","20230629","1"
"E5D079F1","20230630","1"
"E5D079F1","20230703","1"
"E5D079F1","20230707","1"
"E5D079F1","20230714","1"
"E5D079F1","20230721","1"
"E5D079F1","20230728","1"
"E5D079F1","20230804","1"
"E5D079F1","20230811","1"
"E5D079F1","20230818","1"
"E5D079F1","20230825","1"
"E5D079F1","20230831","1"
"E5D079F1","20230901","1"
"A8A81C7A","20230530","1"
"A8A81C7A","20230605","1"
"A8A81C7A","20230612","1"
"A8A81C7A","20230619","1"
"A8A81C7A","20230620","1"
"A8A81C7A","20230626","1"
"A8A81C7A","20230703","1"
"A8A81C7A","20230705","1"
"A8A81C7A","20230710","1"
"A8A81C7A","20230717","1"
"A8A81C7A","20230724","1"
"A8A81C7A","20230731","1"
"A8A81C7A","20230807","1"
"A8A81C7A","20230814","1"
"A8A81C7A","20230821","1"
"A8A81C7A","20230828","1"
"55F3EA2E","20230524","1"
"55F3EA2E","20230525","1"
"55F3EA2E","20230526","1"
"55F3EA2E","20230531","1"
"55F3EA2E","20230601","1"
"55F3EA2E","20230602","1"
"55F3EA2E","20230606","1"
"55F3EA2E","20230607","1"
"55F3EA2E","20230608","1"
"55F3EA2E","20230609","1"
"55F3EA2E","20230613","1"
"55F3EA2E","20230614","1"
"55F3EA2E","20230615","1"
"55F3EA2E","20230616","1"
"55F3EA2E","20230620","1"
"55F3EA2E","20230621","1"
"55F3EA2E","20230622","1"
"55F3EA2E","20230623","1"
"55F3EA2E","20230627","1"
"55F3EA2E","20230628","1"
"55F3EA2E","20230629","1"
"55F3EA2E","20230630","1"
"55F3EA2E","20230706","1"
"55F3EA2E","20230707","1"
"55F3EA2E","20230711","1"
"55F3EA2E","20230712","1"
"55F3EA2E","20230713","1"
"55F3EA2E","20230714","1"
"55F3EA2E","20230718","1"
"55F3EA2E","20230719","1"
"55F3EA2E","20230720","1"
"55F3EA2E","20230721","1"
"55F3EA2E","20230725","1"
"55F3EA2E","20230726","1"
"55F3EA2E","20230727","1"
"55F3EA2E","20230728","1"
"55F3EA2E","20230801","1"
"55F3EA2E","20230802","1"
"55F3EA2E","20230803","1"
"55F3EA2E","20230804","1"
"55F3EA2E","20230808","1"
"55F3EA2E","20230809","1"
"55F3EA2E","20230810","1"
"55F3EA2E","20230811","1"
"55F3EA2E","20230815","1"
"55F3EA2E","20230816","1"
"55F3EA2E","20230817","1"
"55F3EA2E","20230818","1"
"55F3EA2E","20230822","1"
"55F3EA2E","20230823","1"
"55F3EA2E","20230824","1"
"55F3EA2E","20230825","1"
"55F3EA2E","20230829","1"
"55F3EA2E","20230830","1"
"55F3EA2E","20230831","1"
"55F3EA2E","20230901","1"
"0AD80D36","20230524","1"
"0AD80D36","20230530","1"
"0AD80D36","20230531","1"
"0AD80D36","20230601","1"
"0AD80D36","20230605","1"
"0AD80D36","20230606","1"
"0AD80D36","20230607","1"
"0AD80D36","20230608","1"
"0AD80D36","20230612","1"
"0AD80D36","20230613","1"
"0AD80D36","20230614","1"
"0AD80D36","20230619","1"
"0AD80D36","20230620","1"
"0AD80D36","20230621","1"
"0AD80D36","20230622","1"
"0AD80D36","20230626","1"
"0AD80D36","20230627","1"
"0AD80D36","20230628","1"
"0AD80D36","20230705","1"
"0AD80D36","20230706","1"
"0AD80D36","20230710","1"
"0AD80D36","20230711","1"
"0AD80D36","20230712","1"
"0AD80D36","20230713","1"
"0AD80D36","20230717","1"
"0AD80D36","20230718","1"
"0AD80D36","20230719","1"
"0AD80D36","20230720","1"
"0AD80D36","20230724","1"
"0AD80D36","20230725","1"
"0AD80D36","20230726","1"
"0AD80D36","20230727","1"
"0AD80D36","20230731","1"
"0AD80D36","20230801","1"
"0AD80D36","20230802","1"
"0AD80D36","20230803","1"
"0AD80D36","20230807","1"
"0AD80D36","20230808","1"
"0AD80D36","20230809","1"
"0AD80D36","20230810","1"
"0AD80D36","20230814","1"
"0AD80D36","20230815","1"
"0AD80D36","20230816","1"
"0AD80D36","20230817","1"
"0AD80D36","20230821","1"
"0AD80D36","20230822","1"
"0AD80D36","20230823","1"
"0AD80D36","20230824","1"
"0AD80D36","20230828","1"
"0AD80D36","20230829","1"
"0AD80D36","20230830","1"
"4087D50A","20230529","1"
"4087D50A","20230604","1"
"4087D50A","20230611","1"
"4087D50A","20230618","1"
"4087D50A","20230625","1"
"4087D50A","20230702","1"
"4087D50A","20230704","1"
"4087D50A","20230709","1"
"4087D50A","20230716","1"
"4087D50A","20230723","1"
"4087D50A","20230730","1"
"4087D50A","20230806","1"
"4087D50A","20230813","1"
"4087D50A","20230820","1"
"4087D50A","20230827","1"
"4087D50A","20230904","1"
"3B46CC8E","20230527","1"
"3B46CC8E","20230603","1"
"3B46CC8E","20230610","1"
"3B46CC8E","20230617","1"
"3B46CC8E","20230624","1"
"3B46CC8E","20230701","1"
"3B46CC8E","20230704","1"
"3B46CC8E","20230708","1"
"3B46CC8E","20230715","1"
"3B46CC8E","20230722","1"
"3B46CC8E","20230729","1"
"3B46CC8E","20230805","1"
"3B46CC8E","20230812","1"
"3B46CC8E","20230819","1"
"3B46CC8E","20230826","1"
"3B46CC8E","20230902","1"
"2C3CC396","20230525","1"
"2C3CC396","20230526","1"
"2C3CC396","20230530","1"
"2C3CC396","20230531","1"
"2C3CC396","20230601","1"
"2C3CC396","20230602","1"
"2C3CC396","20230605","1"
"2C3CC396","20230606","1"
"2C3CC396","20230607","1"
"2C3CC396","20230608","1"
"2C3CC396","20230609","1"
"2C3CC396","20230612","1"
"2C3CC396","20230613","1"
"2C3CC396","20230614","1"
"2C3CC396","20230615","1"
"2C3CC396","20230616","1"
"2C3CC396","20230619","1"
"2C3CC396","20230620","1"
"2C3CC396","20230621","1"
"2C3CC396","20230622","1"
"2C3CC396","20230623","1"
"2C3CC396","20230626","1"
"2C3CC396","20230627","1"
"2C3CC396","20230628","1"
"2C3CC396","20230629","1"
"2C3CC396","20230630","1"
"2C3CC396","20230703","1"
"2C3CC396","20230705","1"
"2C3CC396","20230706","1"
"2C3CC396","20230707","1"
"2C3CC396","20230710","1"
"2C3CC396","20230711","1"
"2C3CC396","20230712","1"
"2C3CC396","20230713","1"
"2C3CC396","20230714","1"
"2C3CC396","20230717","1"
"2C3CC396","20230718","1"
"2C3CC396","20230719","1"
"2C3CC396","20230720","1"
"2C3CC396","20230721","1"
"2C3CC396","20230724","1"
"2C3CC396","20230725","1"
"2C3CC396","20230726","1"
"2C3CC396","20230727","1"
"2C3CC396","20230728","1"
"2C3CC396","20230731","1"
"2C3CC396","20230801","1"
"2C3CC396","20230802","1"
"2C3CC396","20230803","1"
"2C3CC396","20230804","1"
"2C3CC396","20230807","1"
"2C3CC396","20230808","1"
"2C3CC396","20230809","1"
"2C3CC396","20230810","1"
"2C3CC396","20230811","1"
"2C3CC396","20230814","1"
"2C3CC396","20230815","1"
"2C3CC396","20230816","1"
"2C3CC396","20230817","1"
"2C3CC396","20230818","1"
"2C3CC396","20230821","1"
"2C3CC396","20230822","1"
"2C3CC396","20230823","1"
"2C3CC396","20230824","1"
"2C3CC396","20230825","1"
"2C3CC396","20230828","1"
"2C3CC396","20230829","1"
"2C3CC396","20230830","1"
"2C3CC396","20230831","1"
"2C3CC396","20230901","1"
"3EF65B24","20230524","1"
"24C60429","20230527","1"
"24C60429","20230528","1"
"24C60429","20230529","1"
"24C60429","20230603","1"
"24C60429","20230604","1"
"24C60429","20230611","1"
"24C60429","20230617","1"
"24C60429","20230618","1"
"24C60429","20230624","1"
"24C60429","20230625","1"
"24C60429","20230701","1"
"24C60429","20230702","1"
"24C60429","20230704","1"
"24C60429","20230708","1"
"24C60429","20230709","1"
"24C60429","20230715","1"
"24C60429","20230716","1"
"24C60429","20230722","1"
"24C60429","20230723","1"
"24C60429","20230729","1"
"24C60429","20230730","1"
"24C60429","20230805","1"
"24C60429","20230806","1"
"24C60429","20230812","1"
"24C60429","20230813","1"
"24C60429","20230819","1"
"24C60429","20230820","1"
"24C60429","20230826","1"
"24C60429","20230827","1"
"24C60429","20230902","1"
"24C60429","20230903","1"
"24C60429","20230904","1"
"B82ADD47","20230610","1"
"4E8F6147","20230527","1"
"4E8F6147","20230528","1"
"4E8F6147","20230603","1"
"4E8F6147","20230610","1"
"4E8F6147","20230617","1"
"4E8F6147","20230624","1"
"4E8F6147","20230701","1"
"4E8F6147","20230708","1"
"4E8F6147","20230715","1"
"4E8F6147","20230722","1"
"4E8F6147","20230729","1"
"4E8F6147","20230805","1"
"4E8F6147","20230812","1"
"4E8F6147","20230819","1"
"4E8F6147","20230826","1"
"4E8F6147","20230902","1"
"4E8F6147","20230903","1"
"6C0A031B","20230527","1"
"6C0A031B","20230528","1"
"6C0A031B","20230529","1"
"6C0A031B","20230610","1"
"6C0A031B","20230611","1"
"6C0A031B","20230617","1"
"6C0A031B","20230618","1"
"6C0A031B","20230701","1"
"6C0A031B","20230702","1"
"6C0A031B","20230704","1"
"6C0A031B","20230715","1"
"6C0A031B","20230716","1"
"6C0A031B","20230722","1"
"6C0A031B","20230723","1"
"6C0A031B","20230729","1"
"6C0A031B","20230730","1"
"6C0A031B","20230805","1"
"6C0A031B","20230806","1"
"6C0A031B","20230812","1"
"6C0A031B","20230813","1"
"6C0A031B","20230819","1"
"6C0A031B","20230820","1"
"6C0A031B","20230826","1"
"6C0A031B","20230827","1"
"6C0A031B","20230902","1"
"6C0A031B","20230903","1"
"6C0A031B","20230904","1"
"79DE4B03","20230603","1"
"79DE4B03","20230604","1"
"79DE4B03","20230624","1"
"79DE4B03","20230625","1"
"79DE4B03","20230708","1"
"79DE4B03","20230709","1"
"50BC4A89","20230524","1"
"50BC4A89","20230525","1"
"50BC4A89","20230526","1"
"50BC4A89","20230530","1"
"50BC4A89","20230531","1"
"50BC4A89","20230601","1"
"50BC4A89","20230605","1"
"50BC4A89","20230606","1"
"50BC4A89","20230607","1"
"50BC4A89","20230608","1"
"50BC4A89","20230609","1"
"50BC4A89","20230612","1"
"50BC4A89","20230613","1"
"50BC4A89","20230614","1"
"50BC4A89","20230615","1"
"50BC4A89","20230616","1"
"50BC4A89","20230619","1"
"50BC4A89","20230620","1"
"50BC4A89","20230621","1"
"50BC4A89","20230622","1"
"50BC4A89","20230626","1"
"50BC4A89","20230627","1"
"50BC4A89","20230628","1"
"50BC4A89","20230629","1"
"50BC4A89","20230630","1"
"50BC4A89","20230703","1"
"50BC4A89","20230705","1"
"50BC4A89","20230706","1"
"50BC4A89","20230710","1"
"50BC4A89","20230711","1"
"50BC4A89","20230712","1"
"50BC4A89","20230713","1"
"50BC4A89","20230714","1"
"50BC4A89","20230717","1"
"50BC4A89","20230718","1"
"50BC4A89","20230719","1"
"50BC4A89","20230720","1"
"50BC4A89","20230721","1"
"50BC4A89","20230724","1"
"50BC4A89","20230725","1"
"50BC4A89","20230726","1"
"50BC4A89","20230727","1"
"50BC4A89","20230728","1"
"50BC4A89","20230731","1"
"50BC4A89","20230801","1"
"50BC4A89","20230802","1"
"50BC4A89","20230803","1"
"50BC4A89","20230804","1"
"50BC4A89","20230807","1"
"50BC4A89","20230808","1"
"50BC4A89","20230809","1"
"50BC4A89","20230810","1"
"50BC4A89","20230811","1"
"50BC4A89","20230814","1"
"50BC4A89","20230815","1"
"50BC4A89","20230816","1"
"50BC4A89","20230817","1"
"50BC4A89","20230818","1"
"50BC4A89","20230821","1"
"50BC4A89","20230822","1"
"50BC4A89","20230823","1"
"50BC4A89","20230824","1"
"50BC4A89","20230825","1"
"50BC4A89","20230828","1"
"50BC4A89","20230829","1"
"50BC4A89","20230830","1"
"50BC4A89","20230831","1"
"50BC4A89","20230901","1"
"D38822FF","20230602","1"
"D38822FF","20230623","1"
"D38822FF","20230707","1"
