service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9454,0,0,0,0,0,0,0,20220118,20220326
9449,0,0,0,0,0,0,0,20220118,20220326
9461,0,0,0,0,0,0,0,20220118,20220326
9462,0,0,0,0,0,0,0,20220118,20220326
9463,0,0,0,0,0,0,0,20220118,20220326
9464,0,0,0,0,0,0,0,20220118,20220326
9469,0,0,0,0,0,0,0,20220118,20220326
9470,0,0,0,0,0,0,0,20220118,20220326
9468,0,0,0,0,0,0,0,20220118,20220326
9473,0,0,0,0,0,0,0,20220118,20220326
9474,0,0,0,0,0,0,0,20220118,20220326
9476,0,0,0,0,0,0,0,20220118,20220326
9477,0,0,0,0,0,0,0,20220118,20220326
9479,0,0,0,0,0,0,0,20220118,20220326
9481,0,0,0,0,0,0,0,20220118,20220326
9482,0,0,0,0,0,0,0,20220118,20220326
9483,0,0,0,0,0,0,0,20220118,20220326
9484,0,0,0,0,0,0,0,20220118,20220326
9485,0,0,0,0,0,0,0,20220118,20220326
