"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","A3354DB4","GO303_24_7901","Penn Station","7901","1","C5955902W","0"
"4","A3354DB4","GO303_24_7902","Ronkonkoma","7902","0","C5955902","0"
"4","A3354DB4","GO303_24_7903","Penn Station","7903","1","C5955902W","0"
"4","A3354DB4","GO303_24_7904","Ronkonkoma","7904","0","C5955902","0"
"4","A3354DB4","GO303_24_7905","Penn Station","7905","1","C5955902W","0"
"4","A3354DB4","GO303_24_7906","Ronkonkoma","7906","0","C5955902","0"
"4","A3354DB4","GO303_24_7907","Penn Station","7907","1","C5955902W","0"
"4","A3354DB4","GO303_24_7908","Ronkonkoma","7908","0","C5955902","0"
"4","A3354DB4","GO303_24_7909","Penn Station","7909","1","C5955902W","0"
"4","A3354DB4","GO303_24_7910","Ronkonkoma","7910","0","C5955902","0"
"4","A3354DB4","GO303_24_7911","Penn Station","7911","1","C5955902W","0"
"4","A3354DB4","GO303_24_7912","Ronkonkoma","7912","0","C5955902","0"
"4","A3354DB4","GO303_24_7913","Penn Station","7913","1","C5955902W","0"
"4","A3354DB4","GO303_24_7914","Ronkonkoma","7914","0","C5955902","0"
"4","A3354DB4","GO303_24_7915","Penn Station","7915","1","C5955902W","0"
"4","A3354DB4","GO303_24_7916","Ronkonkoma","7916","0","C5955902","0"
"4","A3354DB4","GO303_24_7917","Penn Station","7917","1","C5955902W","0"
"4","A3354DB4","GO303_24_7918","Ronkonkoma","7918","0","C5955902","0"
"4","A3354DB4","GO303_24_7919","Penn Station","7919","1","C5955902W","0"
"4","A3354DB4","GO303_24_7920","Ronkonkoma","7920","0","C5955902","0"
"4","A3354DB4","GO303_24_7921","Penn Station","7921","1","C5955902W","0"
"4","A3354DB4","GO303_24_7922","Ronkonkoma","7922","0","C5955902","0"
"4","A3354DB4","GO303_24_7923","Penn Station","7923","1","C5955902W","0"
"4","A3354DB4","GO303_24_7924","Ronkonkoma","7924","0","C5955902","0"
"4","A3354DB4","GO303_24_7925","Penn Station","7925","1","C5955902W","0"
"4","A3354DB4","GO303_24_7926","Ronkonkoma","7926","0","C5955902","0"
"4","A3354DB4","GO303_24_7927","Penn Station","7927","1","C5955902W","0"
"4","A3354DB4","GO303_24_7928","Ronkonkoma","7928","0","C5955902","0"
"4","A3354DB4","GO303_24_7929","Penn Station","7929","1","C5955902W","0"
"4","A3354DB4","GO303_24_7930","Ronkonkoma","7930","0","C5955902","0"
"4","A3354DB4","GO303_24_7931","Penn Station","7931","1","C5955902W","0"
"4","A3354DB4","GO303_24_7932","Ronkonkoma","7932","0","C5955902","0"
"4","A3354DB4","GO303_24_7933","Penn Station","7933","1","C5955902W","0"
"4","A3354DB4","GO303_24_7935","Penn Station","7935","1","C5955902W","0"
"4","A3354DB4","GO303_24_7950","Ronkonkoma","7950","0","C5955902","0"
"4","A3354DB4","GO303_24_7952","Ronkonkoma","7952","0","C5955902","0"
"4","A3354DB4","GO303_24_7953","Penn Station","7953","1","C5955902W","0"
"4","A3354DB4","GO303_24_7955","Penn Station","7955","1","C5955902W","0"
"4","A3354DB4","GO303_24_7956","Ronkonkoma","7956","0","C5955902","0"
"4","A3354DB4","GO303_24_7957","Penn Station","7957","1","C5955902W","0"
"4","A3354DB4","GO303_24_7958","Ronkonkoma","7958","0","C5955902","0"
"4","A3354DB4","GO303_24_7959","Penn Station","7959","1","C5955902W","0"
"4","A3354DB4","GO303_24_7960","Ronkonkoma","7960","0","C5955902","0"
"4","A3354DB4","GO303_24_7961","Penn Station","7961","1","C5955902W","0"
"4","A3354DB4","GO303_24_7962","Ronkonkoma","7962","0","C5955902","0"
"4","A3354DB4","GO303_24_7963","Penn Station","7963","1","C5955902W","0"
"4","A3354DB4","GO303_24_7964","Ronkonkoma","7964","0","C5955902","0"
"4","A3354DB4","GO303_24_7965","Penn Station","7965","1","C5955902W","0"
"4","A3354DB4","GO303_24_7966","Ronkonkoma","7966","0","C5955902","0"
"4","A3354DB4","GO303_24_7967","Penn Station","7967","1","C5955902W","0"
"4","A3354DB4","GO303_24_7968","Ronkonkoma","7968","0","C5955902","0"
"4","A3354DB4","GO303_24_7969","Penn Station","7969","1","C5955902W","0"
"4","A3354DB4","GO303_24_7970","Ronkonkoma","7970","0","C5955902","0"
"4","A3354DB4","GO303_24_7971","Penn Station","7971","1","C5955902W","0"
"4","A3354DB4","GO303_24_7972","Ronkonkoma","7972","0","C5955902","0"
"4","A3354DB4","GO303_24_7973","Penn Station","7973","1","C5955902W","0"
"4","A3354DB4","GO303_24_7974","Ronkonkoma","7974","0","C5955902","0"
"4","A3354DB4","GO303_24_7975","Penn Station","7975","1","C5955902W","0"
"4","A3354DB4","GO303_24_7976","Ronkonkoma","7976","0","C5955902","0"
"4","A3354DB4","GO303_24_7977","Penn Station","7977","1","C5955902W","0"
"4","A3354DB4","GO303_24_7978","Ronkonkoma","7978","0","C5955902","0"
"4","A3354DB4","GO303_24_7979","Penn Station","7979","1","C5955902W","0"
"4","A3354DB4","GO303_24_7980","Ronkonkoma","7980","0","C5955902","0"
"4","A3354DB4","GO303_24_7981","Penn Station","7981","1","C5955902W","0"
"4","A3354DB4","GO303_24_7982","Ronkonkoma","7982","0","C5955902","0"
"4","A3354DB4","GO303_24_7983","Penn Station","7983","1","C5955902W","0"
"4","A3354DB4","GO303_24_7984","Ronkonkoma","7984","0","C5955902","0"
"4","A3354DB4","GO303_24_7985","Penn Station","7985","1","C5955902W","0"
"4","A3354DB4","GO303_24_7986","Ronkonkoma","7986","0","C5955902","0"
"4","A3354DB4","GO303_24_7987","Penn Station","7987","1","C5955902W","0"
"4","A3354DB4","GO303_24_7988","Ronkonkoma","7988","0","C5955902","0"
"4","A3354DB4","GO303_24_7989","Penn Station","7989","1","C5955902W","0"
"4","A3354DB4","GO303_24_7990","Ronkonkoma","7990","0","C5955902","0"
"4","A3354DB4","GO303_24_7991","Penn Station","7991","1","C5955902W","0"
"4","A3354DB4","GO303_24_7992","Ronkonkoma","7992","0","C5955902","0"
"4","A3354DB4","GO303_24_7993","Penn Station","7993","1","C5955902W","0"
"4","A3354DB4","GO303_24_7994","Ronkonkoma","7994","0","C5955902","0"
