shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
03FFAF24,40.8391449983,-72.5997836266,1801
03FFAF24,40.8395003947,-72.5992327595,1802
03FFAF24,40.8398567706,-72.5986829847,1803
03FFAF24,40.8402127439,-72.5981327552,1804
03FFAF24,40.8405681438,-72.5975818802,1805
03FFAF24,40.8409235195,-72.5970309751,1806
03FFAF24,40.8412789858,-72.5964801686,1807
03FFAF24,40.8416349835,-72.5959299547,1808
03FFAF24,40.8419906565,-72.5953793742,1809
03FFAF24,40.8423460412,-72.5948284677,1810
03FFAF24,40.8427018388,-72.5942780204,1811
03FFAF24,40.8430571844,-72.5937270648,1812
03FFAF24,40.8434122444,-72.5931757866,1813
03FFAF24,40.8437679275,-72.5926252025,1814
03FFAF24,40.8441236241,-72.5920746304,1815
03FFAF24,40.8444792449,-72.5915239707,1816
03FFAF24,40.8448344707,-72.5909728665,1817
03FFAF24,40.8451896808,-72.5904217413,1818
03FFAF24,40.8455451049,-72.5898708525,1819
03FFAF24,40.8459007235,-72.5893201784,1820
03FFAF24,40.846256093,-72.5887692227,1821
03FFAF24,40.8466113748,-72.5882181659,1822
03FFAF24,40.8469669941,-72.587667484,1823
03FFAF24,40.8473224992,-72.5871166723,1824
03FFAF24,40.8476765302,-72.5865642138,1825
03FFAF24,40.848028894,-72.586009909,1826
03FFAF24,40.8483802392,-72.585454478,1827
03FFAF24,40.848731385,-72.5848988255,1828
03FFAF24,40.8490824856,-72.5843431204,1829
03FFAF24,40.8494338986,-72.5837877551,1830
03FFAF24,40.8497854483,-72.5832325369,1831
03FFAF24,40.8501374196,-72.5826777793,1832
03FFAF24,40.8504886714,-72.5821222314,1833
03FFAF24,40.8508385629,-72.581565191,1834
03FFAF24,40.8511888717,-72.5810086028,1835
03FFAF24,40.8515401448,-72.5804530672,1836
03FFAF24,40.8518917383,-72.5798978797,1837
03FFAF24,40.8522435069,-72.5793428817,1838
03FFAF24,40.8525946521,-72.5787871968,1839
03FFAF24,40.8529449989,-72.5782306358,1840
03FFAF24,40.8532960378,-72.5776748289,1841
03FFAF24,40.8536476276,-72.5771196229,1842
03FFAF24,40.8539992979,-72.5765645027,1843
03FFAF24,40.8543503422,-72.5760086924,1844
03FFAF24,40.8547012673,-72.5754527487,1845
03FFAF24,40.8550524676,-72.5748971036,1846
03FFAF24,40.8554033668,-72.5743411256,1847
03FFAF24,40.8557540404,-72.5737848979,1848
03FFAF24,40.8561048681,-72.573228837,1849
03FFAF24,40.8564568766,-72.5726740684,1850
03FFAF24,40.8568083679,-72.5721187282,1851
03FFAF24,40.8571595971,-72.5715630972,1852
03FFAF24,40.8575107816,-72.5710074143,1853
03FFAF24,40.8578618856,-72.5704516402,1854
03FFAF24,40.8582129163,-72.5698957829,1855
03FFAF24,40.8585637482,-72.569339705,1856
03FFAF24,40.8589145514,-72.5687835928,1857
03FFAF24,40.8592653302,-72.5682274509,1858
03FFAF24,40.8596165108,-72.5676717466,1859
03FFAF24,40.8599680149,-72.5671163941,1860
03FFAF24,40.8603191222,-72.5665606033,1861
03FFAF24,40.860670069,-72.5660046338,1862
03FFAF24,40.8610212453,-72.5654489128,1863
03FFAF24,40.8613724116,-72.5648931779,1864
03FFAF24,40.8617232297,-72.5643370588,1865
03FFAF24,40.8620741102,-72.563781005,1866
03FFAF24,40.8624250952,-72.5632250627,1867
03FFAF24,40.8627763209,-72.5626693813,1868
03FFAF24,40.8631274956,-72.5621136412,1869
03FFAF24,40.8634781113,-72.5615572863,1870
03FFAF24,40.863828493,-72.5610006724,1871
03FFAF24,40.8641781936,-72.560443314,1872
03FFAF24,40.8645178568,-72.5598755774,1873
03FFAF24,40.8648253166,-72.5592771952,1874
03FFAF24,40.8650888421,-72.5586436504,1875
03FFAF24,40.8653193117,-72.5579875317,1876
03FFAF24,40.8655402159,-72.5573255904,1877
03FFAF24,40.865761326,-72.5566637578,1878
03FFAF24,40.8659813191,-72.5560012769,1879
03FFAF24,40.8662005978,-72.5553383821,1880
03FFAF24,40.8664210626,-72.5546761681,1881
03FFAF24,40.8666417161,-72.5540140605,1882
03FFAF24,40.8668621328,-72.5533518139,1883
03FFAF24,40.8670824841,-72.5526895274,1884
03FFAF24,40.867302811,-72.5520272245,1885
03FFAF24,40.8675229291,-72.551364799,1886
03FFAF24,40.8677428983,-72.5507022855,1887
03FFAF24,40.8679628331,-72.55003975,1888
03FFAF24,40.8681830386,-72.5493773684,1889
03FFAF24,40.8684035834,-72.5487151805,1890
03FFAF24,40.8686241388,-72.5480529965,1891
03FFAF24,40.868844086,-72.5473904599,1892
03FFAF24,40.8690638548,-72.5467278182,1893
03FFAF24,40.8692842044,-72.5460655087,1894
03FFAF24,40.8695044763,-72.5454031523,1895
03FFAF24,40.8697246861,-72.5447407578,1896
03FFAF24,40.8699446529,-72.544078221,1897
03FFAF24,40.8701645643,-72.5434156501,1898
03FFAF24,40.8703846401,-72.5427531718,1899
03FFAF24,40.8706048794,-72.5420907856,1900
03FFAF24,40.8708249548,-72.5414283027,1901
03FFAF24,40.8710449594,-72.5407657767,1902
03FFAF24,40.8712647243,-72.5401031109,1903
03FFAF24,40.8714834402,-72.5394398408,1904
03FFAF24,40.8717032428,-72.5387771944,1905
03FFAF24,40.871924277,-72.5381152548,1906
03FFAF24,40.8721446165,-72.5374529113,1907
03FFAF24,40.8723647129,-72.5367904252,1908
03FFAF24,40.8725850675,-72.5361280859,1909
03FFAF24,40.8728053797,-72.5354657201,1910
03FFAF24,40.873025114,-72.5348030188,1911
03FFAF24,40.8732445834,-72.534140163,1912
03FFAF24,40.8734640006,-72.5334772751,1913
03FFAF24,40.8736838567,-72.5328146374,1914
03FFAF24,40.8739033073,-72.5321517648,1915
03FFAF24,40.874122233,-72.5314885883,1916
03FFAF24,40.8743415606,-72.5308256404,1917
03FFAF24,40.8745612823,-72.530162917,1918
03FFAF24,40.8747803603,-72.5294998214,1919
03FFAF24,40.8749998231,-72.5288369444,1920
03FFAF24,40.8752193772,-72.5281741181,1921
03FFAF24,40.8754384809,-72.5275110308,1922
03FFAF24,40.8756579985,-72.5268481789,1923
03FFAF24,40.8758779763,-72.5261855895,1924
03FFAF24,40.876097995,-72.5255230214,1925
03FFAF24,40.8763177778,-72.5248603161,1926
03FFAF24,40.8765374448,-72.5241975427,1927
03FFAF24,40.8767570777,-72.5235347476,1928
03FFAF24,40.8769773668,-72.522872328,1929
03FFAF24,40.8771971433,-72.5222096097,1930
03FFAF24,40.8774172712,-72.5215470916,1931
03FFAF24,40.8776373154,-72.5208845229,1932
03FFAF24,40.8778577655,-72.5202221866,1933
03FFAF24,40.8780782696,-72.5195598796,1934
03FFAF24,40.8782979094,-72.5188970715,1935
03FFAF24,40.8785180572,-72.5182345553,1936
03FFAF24,40.8787375429,-72.5175716577,1937
03FFAF24,40.8789574952,-72.5169090233,1938
03FFAF24,40.879177168,-72.516246226,1939
03FFAF24,40.8794012132,-72.5155860353,1940
03FFAF24,40.8796554327,-72.5149458265,1941
03FFAF24,40.8799659627,-72.5143508149,1942
03FFAF24,40.8803233301,-72.5138023992,1943
03FFAF24,40.8806969174,-72.5132725037,1944
03FFAF24,40.88107004,-72.5127420201,1945
03FFAF24,40.8814433372,-72.5122117447,1946
03FFAF24,40.8818105956,-72.511674381,1947
03FFAF24,40.882151419,-72.5111080033,1948
03FFAF24,40.8824597211,-72.5105098926,1949
03FFAF24,40.8827583203,-72.5099029879,1950
03FFAF24,40.8830543301,-72.5092938876,1951
03FFAF24,40.883350815,-72.508685184,1952
03FFAF24,40.8836482891,-72.5080773117,1953
03FFAF24,40.8839454675,-72.5074691855,1954
03FFAF24,40.8842424669,-72.5068609048,1955
03FFAF24,40.884539561,-72.5062527019,1956
03FFAF24,40.8848371759,-72.5056449382,1957
03FFAF24,40.8851410178,-72.5050426603,1958
03FFAF24,40.8854601826,-72.5044543944,1959
03FFAF24,40.8858005284,-72.5038870107,1960
03FFAF24,40.8861480265,-72.5033270894,1961
03FFAF24,40.886494755,-72.5027663318,1962
03FFAF24,40.8868403129,-72.5022043184,1963
03FFAF24,40.8871869835,-72.5016434945,1964
03FFAF24,40.8875332234,-72.5010822058,1965
03FFAF24,40.8878708554,-72.5005121348,1966
03FFAF24,40.8881734548,-72.4999099609,1967
03FFAF24,40.8884063152,-72.4992566234,1968
03FFAF24,40.8885648867,-72.4985655664,1969
03FFAF24,40.8886543425,-72.4978526008,1970
