shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
A3EBB8CE,40.6999538201,-73.8075446901,299
A3EBB8CE,40.7001474863,-73.8068699206,300
A3EBB8CE,40.7003672433,-73.8062095498,301
A3EBB8CE,40.7005622678,-73.8055357174,302
A3EBB8CE,40.7007502859,-73.8048580887,303
A3EBB8CE,40.7009241197,-73.8041750773,304
A3EBB8CE,40.7010025421,-73.8034643528,305
A3EBB8CE,40.7009659183,-73.8027467134,306
A3EBB8CE,40.700823028,-73.8020550427,307
A3EBB8CE,40.7005657314,-73.8014206099,308
A3EBB8CE,40.7002409513,-73.8008398896,309
A3EBB8CE,40.6999010992,-73.8002734744,310
A3EBB8CE,40.699559105,-73.7997092637,311
A3EBB8CE,40.6992167771,-73.7991454056,312
A3EBB8CE,40.6988742399,-73.7985817696,313
A3EBB8CE,40.6985303913,-73.7980195477,314
A3EBB8CE,40.6981722804,-73.7974733188,315
A3EBB8CE,40.6977782733,-73.796972204,316
A3EBB8CE,40.6973456577,-73.7965294119,317
A3EBB8CE,40.6968812676,-73.7961458483,318
A3EBB8CE,40.6964039959,-73.7957895784,319
A3EBB8CE,40.6959243213,-73.7954388433,320
A3EBB8CE,40.695444498,-73.7950884619,321
A3EBB8CE,40.6949646298,-73.7947381893,322
A3EBB8CE,40.6944852345,-73.7943868036,323
A3EBB8CE,40.6940056065,-73.7940359706,324
A3EBB8CE,40.6935276011,-73.7936814788,325
A3EBB8CE,40.6930592063,-73.7933056066,326
A3EBB8CE,40.6926042013,-73.7929026705,327
A3EBB8CE,40.6921714774,-73.7924597734,328
A3EBB8CE,40.6917645533,-73.7919764361,329
A3EBB8CE,40.691384418,-73.7914565368,330
A3EBB8CE,40.6910259842,-73.7909104152,331
A3EBB8CE,40.6906777707,-73.7903529508,332
A3EBB8CE,40.6903349454,-73.7897896984,333
A3EBB8CE,40.6899928913,-73.7892256325,334
A3EBB8CE,40.6896502336,-73.7886622006,335
A3EBB8CE,40.6893078117,-73.7880985243,336
A3EBB8CE,40.6889654944,-73.787534741,337
A3EBB8CE,40.68862317,-73.7869709681,338
A3EBB8CE,40.6882808178,-73.7864072272,339
