shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
76789C63,40.6847507325,-73.977364825,1
76789C63,40.6843540147,-73.9768665948,2
76789C63,40.683987542,-73.9763311198,3
76789C63,40.6836825878,-73.9757334068,4
76789C63,40.6834779082,-73.9750681286,5
76789C63,40.6833487264,-73.9743675079,6
76789C63,40.6832241962,-73.9736652035,7
76789C63,40.6831005586,-73.9729626436,8
76789C63,40.6829687897,-73.972262914,9
76789C63,40.6827985312,-73.9715779182,10
76789C63,40.6826191951,-73.9708963798,11
76789C63,40.682439855,-73.9702148451,12
76789C63,40.6822605108,-73.9695333141,13
76789C63,40.6820811626,-73.9688517867,14
76789C63,40.6819096634,-73.9681670542,15
76789C63,40.6817615184,-73.9674727806,16
76789C63,40.6816159713,-73.9667775017,17
76789C63,40.6814722925,-73.9660815824,18
76789C63,40.681328802,-73.9653855826,19
76789C63,40.6811836422,-73.9646901622,20
76789C63,40.6810383461,-73.9639947923,21
76789C63,40.6808930457,-73.9632994254,22
76789C63,40.6807477411,-73.9626040616,23
76789C63,40.6806024323,-73.9619087008,24
76789C63,40.6804571193,-73.961213343,25
76789C63,40.6803118021,-73.9605179882,26
76789C63,40.6801664807,-73.9598226365,27
76789C63,40.6800211551,-73.9591272878,28
76789C63,40.6798758252,-73.9584319422,29
76789C63,40.6797304912,-73.9577365996,30
76789C63,40.679585153,-73.95704126,31
76789C63,40.6794398106,-73.9563459234,32
76789C63,40.6792944639,-73.9556505899,33
76789C63,40.6791491131,-73.9549552594,34
76789C63,40.679003758,-73.9542599319,35
76789C63,40.6788583988,-73.9535646075,36
76789C63,40.6787144336,-73.9528688215,37
76789C63,40.6786160562,-73.9521610382,38
76789C63,40.6785735062,-73.9514422769,39
76789C63,40.6785350393,-73.9507229926,40
76789C63,40.6784957469,-73.9500037841,41
76789C63,40.6784565298,-73.9492845689,42
76789C63,40.6784173136,-73.9485653542,43
76789C63,40.6783779066,-73.9478461595,44
76789C63,40.6783425793,-73.9471266125,45
76789C63,40.6783096673,-73.9464068723,46
76789C63,40.678270915,-73.9456876179,47
76789C63,40.6782307091,-73.9449684994,48
76789C63,40.67819087,-73.9442493478,49
76789C63,40.678152942,-73.9435300176,50
76789C63,40.6781132259,-73.9428108546,51
76789C63,40.6780741911,-73.9420916275,52
76789C63,40.6780349826,-73.9413724168,53
76789C63,40.6779954573,-73.9406532362,54
76789C63,40.6779565719,-73.9399339959,55
76789C63,40.6779162487,-73.9392148924,56
76789C63,40.677876927,-73.9384956945,57
76789C63,40.6778383518,-73.937776426,58
76789C63,40.6777993803,-73.937057195,59
76789C63,40.677759631,-73.9363380378,60
76789C63,40.6777192436,-73.9356189424,61
76789C63,40.677679799,-73.9348997578,62
76789C63,40.6776420698,-73.934180415,63
76789C63,40.6776030498,-73.9334611925,64
76789C63,40.6775636303,-73.9327420065,65
76789C63,40.6775250178,-73.932022745,66
76789C63,40.6774856361,-73.9313035559,67
76789C63,40.6774460138,-73.9305843899,68
76789C63,40.6774061609,-73.9298652463,69
76789C63,40.6773665887,-73.9291460765,70
76789C63,40.6773273505,-73.9284268754,71
76789C63,40.6772881972,-73.9277076667,72
76789C63,40.6772495148,-73.9269884149,73
76789C63,40.677211392,-73.9262691115,74
76789C63,40.6771721346,-73.9255499153,75
76789C63,40.6771319309,-73.9248308084,76
76789C63,40.6770925154,-73.9241116268,77
76789C63,40.677052682,-73.9233924875,78
76789C63,40.6770100099,-73.9226736288,79
76789C63,40.6769677386,-73.9219547285,80
76789C63,40.6769266345,-73.9212357128,81
76789C63,40.6768866496,-73.9205165882,82
76789C63,40.6768446405,-73.9197976637,83
76789C63,40.6768025864,-73.9190787456,84
76789C63,40.6767641289,-73.9183594829,85
76789C63,40.6767249828,-73.91764028,86
76789C63,40.6766856687,-73.916921093,87
76789C63,40.6766463501,-73.9162019068,88
76789C63,40.676607027,-73.9154827215,89
76789C63,40.6765678295,-73.9147635248,90
76789C63,40.676528828,-73.9140443101,91
76789C63,40.6764898244,-73.913325096,92
76789C63,40.6764508162,-73.9126058828,93
76789C63,40.6764118035,-73.9118866704,94
76789C63,40.6763731877,-73.9111674231,95
76789C63,40.6763365891,-73.910447996,96
76789C63,40.6762988676,-73.9097286673,97
76789C63,40.6762637385,-73.9090091228,98
76789C63,40.6762216617,-73.9082902297,99
76789C63,40.6761800721,-73.9075712837,100
76789C63,40.6761380655,-73.9068523866,101
76789C63,40.6760996493,-73.9061331303,102
76789C63,40.6760622269,-73.90541378,103
76789C63,40.6760199415,-73.9046948982,104
76789C63,40.6759639489,-73.9039778806,105
76789C63,40.6758823617,-73.9032649115,106
76789C63,40.6757935208,-73.9025533925,107
76789C63,40.6757044221,-73.9018419311,108
76789C63,40.6756357604,-73.9011271335,109
76789C63,40.6756215926,-73.9004069059,110
76789C63,40.6756321954,-73.8996861478,111
76789C63,40.6756595092,-73.8989660388,112
76789C63,40.6756877321,-73.8982459651,113
76789C63,40.6757169442,-73.8975259687,114
76789C63,40.67576245,-73.8968076832,115
76789C63,40.6758271764,-73.8960917047,116
76789C63,40.6758869186,-73.8953749694,117
76789C63,40.6759615081,-73.8946608868,118
76789C63,40.6760495093,-73.8939491924,119
76789C63,40.6761539445,-73.8932415166,120
76789C63,40.6762672417,-73.892536007,121
76789C63,40.6763805345,-73.8918304951,122
76789C63,40.676493823,-73.8911249807,123
76789C63,40.6766171305,-73.890422708,124
76789C63,40.6767652242,-73.8897284562,125
76789C63,40.6769144691,-73.8890345751,126
76789C63,40.6770637097,-73.888340691,127
76789C63,40.6772129462,-73.8876468037,128
76789C63,40.6773675195,-73.8869551697,129
76789C63,40.6775501503,-73.8862753865,130
76789C63,40.6777368475,-73.885597319,131
76789C63,40.6779235406,-73.8849192477,132
76789C63,40.6781102298,-73.8842411726,133
76789C63,40.6782969149,-73.8835630937,134
76789C63,40.6784856243,-73.882885991,135
76789C63,40.6786779237,-73.8822106212,136
76789C63,40.6788702882,-73.8815352808,137
76789C63,40.6790626488,-73.8808599365,138
76789C63,40.6792550054,-73.8801845884,139
76789C63,40.679447358,-73.8795092363,140
76789C63,40.6796396573,-73.8788338561,141
76789C63,40.6798318394,-73.8781584164,142
76789C63,40.6800240131,-73.8774829706,143
76789C63,40.6802161828,-73.8768075209,144
76789C63,40.6804083486,-73.8761320674,145
76789C63,40.6806005104,-73.8754566099,146
76789C63,40.6807926682,-73.8747811486,147
76789C63,40.6809848221,-73.8741056833,148
76789C63,40.681176972,-73.8734302142,149
76789C63,40.6813691264,-73.8727547453,150
76789C63,40.6815612984,-73.8720792832,151
76789C63,40.6817534675,-73.8714038177,152
76789C63,40.6819456327,-73.8707283483,153
76789C63,40.6821377939,-73.870052875,154
76789C63,40.6823299512,-73.8693773978,155
76789C63,40.6825221046,-73.8687019168,156
76789C63,40.6827143036,-73.8680264562,157
76789C63,40.6829065389,-73.8673510115,158
76789C63,40.6830987702,-73.8666755629,159
76789C63,40.6832909976,-73.8660001104,160
76789C63,40.6834832209,-73.8653246541,161
76789C63,40.6836754403,-73.8646491938,162
76789C63,40.6838675295,-73.8639736677,163
76789C63,40.6840591009,-73.863297886,164
76789C63,40.6842506137,-73.8626220736,165
76789C63,40.6844421224,-73.8619462574,166
76789C63,40.6846336272,-73.8612704372,167
76789C63,40.684825128,-73.8605946132,168
76789C63,40.6850166587,-73.8599188019,169
76789C63,40.6852091213,-73.8592434462,170
76789C63,40.685402003,-73.8585682943,171
76789C63,40.6855948807,-73.8578931385,172
76789C63,40.6857877544,-73.8572179788,173
76789C63,40.6859806242,-73.8565428152,174
76789C63,40.68617349,-73.8558676477,175
76789C63,40.6863663518,-73.8551924762,176
76789C63,40.6865592097,-73.8545173009,177
76789C63,40.6867520636,-73.8538421217,178
76789C63,40.6869449135,-73.8531669386,179
76789C63,40.6871377595,-73.8524917515,180
76789C63,40.6873306015,-73.8518165606,181
76789C63,40.6875234396,-73.8511413657,182
76789C63,40.6877162736,-73.850466167,183
76789C63,40.6879091038,-73.8497909643,184
