shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BBA47E8E,40.7246365816,-73.7060043375,394
BBA47E8E,40.7248100938,-73.7053198181,395
BBA47E8E,40.724966664,-73.7046284631,396
BBA47E8E,40.7250949702,-73.7039271448,397
BBA47E8E,40.725169695,-73.7032137148,398
BBA47E8E,40.7251542996,-73.7024944566,399
BBA47E8E,40.7250563686,-73.7017857719,400
BBA47E8E,40.7248989969,-73.7010949786,401
BBA47E8E,40.724724986,-73.7004106405,402
BBA47E8E,40.7245539034,-73.6997250711,403
BBA47E8E,40.7244063188,-73.6990303871,404
BBA47E8E,40.7242925803,-73.698324791,405
BBA47E8E,40.7242119849,-73.697611284,406
BBA47E8E,40.7241464378,-73.6968949003,407
BBA47E8E,40.7240814727,-73.6961784196,408
BBA47E8E,40.7240168203,-73.6954618907,409
BBA47E8E,40.7239521905,-73.6947453589,410
BBA47E8E,40.7238882437,-73.6940287222,411
BBA47E8E,40.7238245835,-73.6933120418,412
BBA47E8E,40.7237606716,-73.6925954009,413
BBA47E8E,40.723696645,-73.6918787783,414
BBA47E8E,40.7236324689,-73.6911621795,415
BBA47E8E,40.7235678796,-73.6904456456,416
BBA47E8E,40.7235033162,-73.6897291084,417
BBA47E8E,40.7234403477,-73.6890123281,418
BBA47E8E,40.72337783,-73.6882954795,419
BBA47E8E,40.7233135173,-73.6875789061,420
BBA47E8E,40.7232489048,-73.6868623792,421
BBA47E8E,40.7231846331,-73.6861458002,422
BBA47E8E,40.7231226666,-73.6854288754,423
BBA47E8E,40.7230725938,-73.6847104659,424
BBA47E8E,40.7230466364,-73.6839898996,425
BBA47E8E,40.723039952,-73.683268461,426
BBA47E8E,40.7230378575,-73.6825469269,427
BBA47E8E,40.7230358579,-73.681825392,428
BBA47E8E,40.7230332179,-73.6811038609,429
BBA47E8E,40.7230302993,-73.6803823316,430
BBA47E8E,40.7230281608,-73.6796607976,431
BBA47E8E,40.7230261031,-73.6789392631,432
BBA47E8E,40.723023683,-73.6782177305,433
BBA47E8E,40.7230212906,-73.6774961978,434
BBA47E8E,40.7230192401,-73.6767746633,435
BBA47E8E,40.7230172123,-73.6760531287,436
BBA47E8E,40.7230151787,-73.6753315942,437
BBA47E8E,40.7230126049,-73.674610063,438
BBA47E8E,40.7230106111,-73.6738885289,439
BBA47E8E,40.7230089953,-73.6731669926,440
BBA47E8E,40.7230069928,-73.672445458,441
BBA47E8E,40.7230041301,-73.6717239289,442
BBA47E8E,40.7230014406,-73.6710023993,443
BBA47E8E,40.7229997555,-73.6702808639,444
BBA47E8E,40.7229969618,-73.6695593341,445
BBA47E8E,40.7229941242,-73.6688378045,446
BBA47E8E,40.7229915872,-73.6681162729,447
BBA47E8E,40.7229890818,-73.6673947412,448
BBA47E8E,40.7229865713,-73.6666732096,449
BBA47E8E,40.7229839625,-73.6659516786,450
BBA47E8E,40.7229808797,-73.6652301509,451
BBA47E8E,40.7229777277,-73.6645086237,452
BBA47E8E,40.7229746072,-73.6637870963,453
BBA47E8E,40.7229720539,-73.6630655652,454
BBA47E8E,40.7229696942,-73.6623440328,455
BBA47E8E,40.7229673299,-73.6616225006,456
BBA47E8E,40.7229649431,-73.6609009684,457
BBA47E8E,40.7229625184,-73.6601794365,458
BBA47E8E,40.7229600884,-73.6594579047,459
BBA47E8E,40.7229574065,-73.6587363745,460
BBA47E8E,40.7229544345,-73.6580148462,461
BBA47E8E,40.7229516763,-73.6572933166,462
BBA47E8E,40.7229492237,-73.656571785,463
BBA47E8E,40.7229467682,-73.6558502534,464
BBA47E8E,40.7229441348,-73.655128723,465
BBA47E8E,40.7229416077,-73.6544071922,466
BBA47E8E,40.7229398879,-73.6536856571,467
BBA47E8E,40.7229374001,-73.6529641267,468
BBA47E8E,40.72293422,-73.6522426004,469
BBA47E8E,40.7229319078,-73.6515210684,470
BBA47E8E,40.7229297217,-73.6507995355,471
BBA47E8E,40.7229275311,-73.6500780027,472
BBA47E8E,40.7229253359,-73.6493564699,473
BBA47E8E,40.7229231363,-73.6486349372,474
BBA47E8E,40.7229210402,-73.6479134041,475
BBA47E8E,40.7229191051,-73.6471918718,476
BBA47E8E,40.7229157022,-73.6464703487,477
BBA47E8E,40.7229129072,-73.6457488211,478
BBA47E8E,40.7229095092,-73.6450272988,479
BBA47E8E,40.7229071684,-73.6443057673,480
BBA47E8E,40.7229046109,-73.6435842393,481
BBA47E8E,40.7229024417,-73.6428627234,482
