shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
88D56B42,40.6995789933,-73.8073261751,264
88D56B42,40.6997821424,-73.8066561026,265
88D56B42,40.6999891374,-73.8059880601,266
88D56B42,40.7001981092,-73.8053210768,267
88D56B42,40.7004052098,-73.8046530837,268
88D56B42,40.70061347,-73.8039857172,269
88D56B42,40.7008241329,-73.8033196551,270
88D56B42,40.7010619158,-73.8026708737,271
88D56B42,40.7013358105,-73.8020460692,272
88D56B42,40.7016039662,-73.8014169975,273
88D56B42,40.7018169479,-73.80075378,274
88D56B42,40.7019852268,-73.8000672781,275
88D56B42,40.7021500165,-73.7993792369,276
88D56B42,40.7023127369,-73.79869034,277
88D56B42,40.7024754587,-73.7980014419,278
88D56B42,40.7026377057,-73.79731235,279
88D56B42,40.7028044735,-73.7966251614,280
88D56B42,40.7029904752,-73.7959466849,281
88D56B42,40.7031823187,-73.7952709077,282
88D56B42,40.703354246,-73.7945860269,283
88D56B42,40.7035200381,-73.7938983831,284
88D56B42,40.7036857127,-73.7932106887,285
88D56B42,40.7038514721,-73.7925230278,286
88D56B42,40.7040170097,-73.7918352732,287
88D56B42,40.7041820369,-73.791147305,288
88D56B42,40.7043475684,-73.7904595443,289
88D56B42,40.7045131759,-73.7897718181,290
88D56B42,40.7046782626,-73.7890838971,291
88D56B42,40.704838808,-73.7883942464,292
88D56B42,40.7049797676,-73.7876972854,293
88D56B42,40.7051355869,-73.7870057994,294
88D56B42,40.7053002561,-73.7863176755,295
88D56B42,40.7054667072,-73.7856302879,296
88D56B42,40.705633685,-73.78494312,297
88D56B42,40.7058037197,-73.7842572662,298
88D56B42,40.7059598268,-73.7835681548,299
88D56B42,40.7060026396,-73.7828520327,300
88D56B42,40.7059812361,-73.7821318583,301
88D56B42,40.7059017501,-73.7814189523,302
88D56B42,40.7057635508,-73.7807215644,303
88D56B42,40.7055660669,-73.780049579,304
88D56B42,40.7053131541,-73.7794101892,305
88D56B42,40.7050087327,-73.7788109544,306
88D56B42,40.7046553431,-73.7782601443,307
88D56B42,40.7042591223,-73.7777619698,308
88D56B42,40.7038398799,-73.77729651,309
88D56B42,40.7034163048,-73.7768376719,310
88D56B42,40.7029924577,-73.7763792699,311
88D56B42,40.7025683078,-73.775921355,312
88D56B42,40.7021447094,-73.7754625623,313
