shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"E1567DD0W","40.6997545793","-73.8085945538","2800"
"E1567DD0W","40.6995474365","-73.8093335103","2801"
"E1567DD0W","40.699357703","-73.8100103433","2802"
"E1567DD0W","40.6991679729","-73.8106871759","2803"
"E1567DD0W","40.6989850328","-73.8113670313","2804"
"E1567DD0W","40.6988260318","-73.812057254","2805"
"E1567DD0W","40.6986855118","-73.8127544266","2806"
"E1567DD0W","40.6985452486","-73.8134517538","2807"
"E1567DD0W","40.6984238896","-73.8141544391","2808"
"E1567DD0W","40.6983717559","-73.8148713066","2809"
"E1567DD0W","40.6983875649","-73.8155912568","2810"
"E1567DD0W","40.6984777501","-73.8163014574","2811"
"E1567DD0W","40.6986396797","-73.8169895007","2812"
"E1567DD0W","40.6988572337","-73.8176509354","2813"
"E1567DD0W","40.699117224","-73.8182858199","2814"
"E1567DD0W","40.6994103603","-73.8188952204","2815"
"E1567DD0W","40.699736187","-73.8194752983","2816"
"E1567DD0W","40.7000914517","-73.8200248268","2817"
"E1567DD0W","40.7004683258","-73.820549061","2818"
"E1567DD0W","40.7008592527","-73.8210553062","2819"
"E1567DD0W","40.7012635481","-73.8215431418","2820"
"E1567DD0W","40.7016780551","-73.8220159392","2821"
"E1567DD0W","40.7020973212","-73.8224815488","2822"
"E1567DD0W","40.7025179609","-73.8229449623","2823"
"E1567DD0W","40.7029361225","-73.8234122436","2824"
"E1567DD0W","40.7033551462","-73.8238782383","2825"
"E1567DD0W","40.7037751417","-73.8243427219","2826"
"E1567DD0W","40.7041947523","-73.8248078088","2827"
"E1567DD0W","40.7046141795","-73.8252731856","2828"
"E1567DD0W","40.7050336183","-73.8257385473","2829"
"E1567DD0W","40.7054527545","-73.8262043822","2830"
"E1567DD0W","40.7058719439","-73.8266701374","2831"
"E1567DD0W","40.7062909902","-73.8271361137","2832"
"E1567DD0W","40.7067101168","-73.8276019649","2833"
"E1567DD0W","40.7071296988","-73.8280671181","2834"
"E1567DD0W","40.7075491645","-73.8285324551","2835"
"E1567DD0W","40.7079685067","-73.8289979872","2836"
"E1567DD0W","40.7083876494","-73.8294638325","2837"
"E1567DD0W","40.7088069159","-73.8299294881","2838"
"E1567DD0W","40.7092262839","-73.8303949888","2839"
"E1567DD0W","40.7096456439","-73.8308605048","2840"
"E1567DD0W","40.7100649346","-73.8313261315","2841"
"E1567DD0W","40.7104843946","-73.8317914977","2842"
"E1567DD0W","40.7109039453","-73.8322567255","2843"
"E1567DD0W","40.7113234018","-73.8327221028","2844"
"E1567DD0W","40.7117423212","-73.8331883176","2845"
"E1567DD0W","40.7121612934","-73.8336544535","2846"
"E1567DD0W","40.7125805279","-73.8341201851","2847"
"E1567DD0W","40.7129997665","-73.834585913","2848"
"E1567DD0W","40.7134188959","-73.8350518136","2849"
"E1567DD0W","40.7138378087","-73.8355180534","2850"
"E1567DD0W","40.7142567137","-73.8359843082","2851"
"E1567DD0W","40.7146754837","-73.8364507753","2852"
"E1567DD0W","40.7150949512","-73.8369161292","2853"
"E1567DD0W","40.715508951","-73.8373898367","2854"
"E1567DD0W","40.7159133355","-73.8378776114","2855"
"E1567DD0W","40.7163055695","-73.8383822325","2856"
"E1567DD0W","40.716683722","-73.8389050698","2857"
"E1567DD0W","40.7170472415","-73.8394455663","2858"
"E1567DD0W","40.7173967772","-73.8400017662","2859"
"E1567DD0W","40.7177304037","-73.8405745696","2860"
"E1567DD0W","40.71804858","-73.8411624009","2861"
"E1567DD0W","40.7183504171","-73.8417649122","2862"
"E1567DD0W","40.7186366269","-73.8423804664","2863"
"E1567DD0W","40.7189058437","-73.8430091369","2864"
"E1567DD0W","40.7191593338","-73.8436490224","2865"
"E1567DD0W","40.719401041","-73.8442967807","2866"
"E1567DD0W","40.7196398837","-73.8449464119","2867"
"E1567DD0W","40.7198785974","-73.8455961271","2868"
"E1567DD0W","40.7201166663","-73.8462462534","2869"
"E1567DD0W","40.7203547638","-73.8468963638","2870"
"E1567DD0W","40.720592952","-73.8475464193","2871"
"E1567DD0W","40.7208310794","-73.8481965155","2872"
"E1567DD0W","40.7210694952","-73.8488464314","2873"
"E1567DD0W","40.7213080043","-73.8494962905","2874"
"E1567DD0W","40.7215464614","-73.8501461849","2875"
"E1567DD0W","40.7217849003","-73.8507960931","2876"
"E1567DD0W","40.7220231847","-73.8514461015","2877"
"E1567DD0W","40.7222612755","-73.8520962348","2878"
"E1567DD0W","40.7224990633","-73.8527465619","2879"
"E1567DD0W","40.7227368254","-73.8533969076","2880"
"E1567DD0W","40.722975041","-73.8540469688","2881"
"E1567DD0W","40.7232132471","-73.8546970384","2882"
"E1567DD0W","40.7234514064","-73.85534714","2883"
"E1567DD0W","40.7236898044","-73.8559970926","2884"
"E1567DD0W","40.7239276624","-73.856647389","2885"
"E1567DD0W","40.7241652899","-73.8572978335","2886"
"E1567DD0W","40.7244034586","-73.8579479383","2887"
"E1567DD0W","40.7246416987","-73.8585980003","2888"
"E1567DD0W","40.7248799626","-73.8592480495","2889"
"E1567DD0W","40.7251182418","-73.8598980914","2890"
"E1567DD0W","40.7253565753","-73.8605481012","2891"
"E1567DD0W","40.725594843","-73.8611981549","2892"
"E1567DD0W","40.7258329751","-73.8618482969","2893"
"E1567DD0W","40.7260711137","-73.8624984371","2894"
"E1567DD0W","40.726309305","-73.8631485462","2895"
"E1567DD0W","40.7265476761","-73.8637985437","2896"
